combination,bfs,cc,cc_sv,pr,sssp
Base,0.972542,0.879928,0.942018,0.933353,0.745035
Tagged_BRRIPRP,0.706281,0.838289,0.907787,0.866496,0.695563
DCPTP_BIPRP,0.912821,0.862212,0.916982,0.90374,0.771588
DCPTP_LIPRP,0.921663,0.866139,0.930741,0.913433,0.758628
DCPTP_SecondChanceRP,0.708209,0.83652,0.907922,0.8947,0.707523
IndirectMemory_LIPRP,0.760809,0.851523,0.919233,0.898635,0.756774
IndirectMemory_BIPRP,0.744856,0.846594,0.913553,0.893243,0.774049
Tagged_SecondChanceRP,0.528286,0.758552,0.88229,0.849124,0.601948
DCPT_BRRIPRP,0.911915,0.856724,0.915968,0.894276,0.748441
SignaturePath_BRRIPRP,0.772693,0.832633,0.902828,0.881365,0.682318
SignaturePath_SecondChanceRP,0.515376,0.768606,0.878804,0.843484,0.598279
Tagged_LIPRP,0.720664,0.851537,0.916808,0.882741,0.719709
SignaturePath_LIPRP,0.833309,0.856318,0.919013,0.899364,0.701471
IndirectMemory_SecondChanceRP,0.496283,0.785342,0.889557,0.869014,0.719454
IndirectMemory_BRRIPRP,0.744051,0.839971,0.910405,0.884337,0.749143
Tagged_BIPRP,0.708072,0.847713,0.914465,0.883124,0.703389
SignaturePath_BIPRP,0.769522,0.838214,0.907091,0.894006,0.691975
