combination,bfs,cc,cc_sv,pr,sssp
Base,0.81128,0.812321,0.8727,0.903583,0.828615
Tagged_BRRIPRP,0.663788,0.676248,0.779469,0.837741,0.769559
DCPTP_BIPRP,0.751411,0.77503,0.809466,0.858434,0.828191
DCPTP_LIPRP,0.753286,0.786432,0.803785,0.851775,0.816855
DCPTP_SecondChanceRP,0.679478,0.716349,0.823174,0.855948,0.812603
IndirectMemory_LIPRP,0.724642,0.726088,0.789435,0.839101,0.814691
IndirectMemory_BIPRP,0.719443,0.719687,0.797614,0.848575,0.82454
Tagged_SecondChanceRP,0.539218,0.527175,0.823381,0.839574,0.738026
DCPT_BRRIPRP,0.73466,0.764531,0.788087,0.84321,0.804644
SignaturePath_BRRIPRP,0.689066,0.683146,0.780199,0.838952,0.775148
SignaturePath_SecondChanceRP,0.575377,0.563273,0.820147,0.836246,0.752557
Tagged_LIPRP,0.695747,0.691619,0.793868,0.842677,0.785078
SignaturePath_LIPRP,0.731359,0.735205,0.801071,0.847711,0.789116
IndirectMemory_SecondChanceRP,0.606988,0.61334,0.805258,0.827588,0.808971
IndirectMemory_BRRIPRP,0.700286,0.707884,0.773697,0.83313,0.805102
Tagged_BIPRP,0.684457,0.68695,0.808087,0.85822,0.785502
SignaturePath_BIPRP,0.707466,0.697688,0.805209,0.85517,0.788143
