combination,bfs,cc,cc_sv,pr,sssp
Base,0.75888,0.886265,0.884983,0.894537,0.891739
Tagged_BRRIPRP,0.688945,0.698945,0.846165,0.852334,0.847548
DCPTP_BIPRP,0.744082,0.843273,0.855782,0.86427,0.875834
DCPTP_LIPRP,0.738283,0.849721,0.873227,0.870569,0.869652
DCPTP_SecondChanceRP,0.765766,0.789087,0.855667,0.865796,0.870912
IndirectMemory_LIPRP,0.729868,0.8058,0.855556,0.863567,0.869438
IndirectMemory_BIPRP,0.735723,0.797712,0.848028,0.861589,0.8739
Tagged_SecondChanceRP,0.651075,0.552715,0.845873,0.8523,0.83055
DCPT_BRRIPRP,0.72396,0.836957,0.849834,0.856532,0.862348
SignaturePath_BRRIPRP,0.703066,0.72145,0.843434,0.8528,0.847614
SignaturePath_SecondChanceRP,0.675026,0.582304,0.839478,0.843465,0.83922
Tagged_LIPRP,0.722273,0.7207,0.865326,0.869523,0.85916
SignaturePath_LIPRP,0.738399,0.773648,0.867783,0.872359,0.858275
IndirectMemory_SecondChanceRP,0.733543,0.675658,0.836064,0.849513,0.864494
IndirectMemory_BRRIPRP,0.712257,0.790185,0.838806,0.850859,0.860297
Tagged_BIPRP,0.718235,0.705113,0.858364,0.864937,0.861662
SignaturePath_BIPRP,0.73224,0.719222,0.851911,0.862462,0.858807
