combination,bfs,cc,cc_sv,pr,sssp
Base,0.748423,0.837282,0.928267,0.930235,0.869364
Tagged_BRRIPRP,0.588292,0.691732,0.880064,0.892922,0.819807
DCPTP_BIPRP,0.682828,0.792694,0.88618,0.902584,0.857078
DCPTP_LIPRP,0.679026,0.799606,0.8892,0.899503,0.849752
DCPTP_SecondChanceRP,0.668183,0.742644,0.885616,0.908244,0.850925
IndirectMemory_LIPRP,0.657524,0.758239,0.879716,0.891617,0.847285
IndirectMemory_BIPRP,0.65674,0.752917,0.881483,0.89809,0.855708
Tagged_SecondChanceRP,0.525052,0.561367,0.893658,0.899028,0.801879
DCPT_BRRIPRP,0.660839,0.784504,0.878459,0.894481,0.839641
SignaturePath_BRRIPRP,0.613557,0.706923,0.87901,0.893373,0.822045
SignaturePath_SecondChanceRP,0.558751,0.6,0.891136,0.893188,0.809855
Tagged_LIPRP,0.626912,0.714081,0.886109,0.894907,0.832461
SignaturePath_LIPRP,0.654504,0.742183,0.891135,0.898806,0.833574
IndirectMemory_SecondChanceRP,0.606446,0.650704,0.876161,0.890874,0.846231
IndirectMemory_BRRIPRP,0.628769,0.743204,0.87094,0.889071,0.838395
Tagged_BIPRP,0.620096,0.70081,0.893323,0.903,0.83367
SignaturePath_BIPRP,0.644158,0.710519,0.889128,0.901344,0.834415
